category,demangled_name,mangled_name,kind,module_or_source,address_or_rva,notes
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnDrag,,GPROC32,frontend.obj,0x004A9460,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnUp,,GPROC32,frontend.obj,0x009887E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnDown,,GPROC32,frontend.obj,0x00770250,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CButtonObserverGlue<CFrontEnd>::OnClick,,GPROC32,frontend.obj,0x00770230,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=18
frontend_gui,CFrontEnd::NotifyLoadStart,,GPROC32,frontend.obj,0x008E72E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CFrontEnd::AddSave,,GPROC32,frontend.obj,0x008E72C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=20
frontend_gui,CFrontEnd::ClearBookmark,,GPROC32,frontend.obj,0x008E72B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=16
frontend_gui,CFrontEnd::PreformeGameStart,,GPROC32,frontend.obj,0x008E7220,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=8
frontend_gui,CFrontEnd::GetGraphics,,GPROC32,frontend.obj,0x008E53F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEnd::GetSet,,GPROC32,frontend.obj,0x008E53E0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEnd::GetGui,,GPROC32,frontend.obj,0x00857350,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEnd::GetDisplayWindow,,GPROC32,frontend.obj,0x008E52B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEnd::OnLostDevice,,GPROC32,frontend.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CFrontEnd::IsFrontend,,GPROC32,frontend.obj,0x00590780,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CFrontEnd::AccessCamera,,GPROC32,frontend.obj,0x008DEFF0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEnd::GetCamera,,GPROC32,frontend.obj,0x008DEFF0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEnd::SetSecondaryMapModeDirty,,GPROC32,frontend.obj,0x008DEFE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=10
